Aika;Alue;val
Vuosi 2021 Viikko 32;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 33;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 34;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 35;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 36;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 37;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 38;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 39;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 40;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 41;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 42;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 43;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 44;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 45;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 46;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 47;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 48;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 49;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 50;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 51;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 52;Kanta-Hämeen SHP;
Aika;Kanta-Hämeen SHP;682
Vuosi 2020 Viikko 01;Pirkanmaan SHP;0
Vuosi 2020 Viikko 02;Pirkanmaan SHP;0
Vuosi 2020 Viikko 03;Pirkanmaan SHP;0
Vuosi 2020 Viikko 04;Pirkanmaan SHP;0
Vuosi 2020 Viikko 05;Pirkanmaan SHP;0
Vuosi 2020 Viikko 06;Pirkanmaan SHP;0
Vuosi 2020 Viikko 07;Pirkanmaan SHP;0
Vuosi 2020 Viikko 08;Pirkanmaan SHP;0
Vuosi 2020 Viikko 09;Pirkanmaan SHP;0
Vuosi 2020 Viikko 10;Pirkanmaan SHP;7
Vuosi 2020 Viikko 11;Pirkanmaan SHP;21
Vuosi 2020 Viikko 12;Pirkanmaan SHP;28
Vuosi 2020 Viikko 13;Pirkanmaan SHP;60
Vuosi 2020 Viikko 14;Pirkanmaan SHP;46
Vuosi 2020 Viikko 15;Pirkanmaan SHP;27
Vuosi 2020 Viikko 16;Pirkanmaan SHP;11
Vuosi 2020 Viikko 17;Pirkanmaan SHP;14
Vuosi 2020 Viikko 18;Pirkanmaan SHP;20
Vuosi 2020 Viikko 19;Pirkanmaan SHP;12
Vuosi 2020 Viikko 20;Pirkanmaan SHP;7
Vuosi 2020 Viikko 21;Pirkanmaan SHP;2
Vuosi 2020 Viikko 22;Pirkanmaan SHP;5
Vuosi 2020 Viikko 23;Pirkanmaan SHP;1
Vuosi 2020 Viikko 24;Pirkanmaan SHP;1
Vuosi 2020 Viikko 25;Pirkanmaan SHP;0
Vuosi 2020 Viikko 26;Pirkanmaan SHP;0
Vuosi 2020 Viikko 27;Pirkanmaan SHP;0
Vuosi 2020 Viikko 28;Pirkanmaan SHP;1
Vuosi 2020 Viikko 29;Pirkanmaan SHP;0
Vuosi 2020 Viikko 30;Pirkanmaan SHP;0
Vuosi 2020 Viikko 31;Pirkanmaan SHP;3
Vuosi 2020 Viikko 32;Pirkanmaan SHP;5
Vuosi 2020 Viikko 33;Pirkanmaan SHP;3
Vuosi 2020 Viikko 34;Pirkanmaan SHP;6
Vuosi 2020 Viikko 35;Pirkanmaan SHP;5
Vuosi 2020 Viikko 36;Pirkanmaan SHP;23
Vuosi 2020 Viikko 37;Pirkanmaan SHP;29
Vuosi 2020 Viikko 38;Pirkanmaan SHP;54
Vuosi 2020 Viikko 39;Pirkanmaan SHP;49
Vuosi 2020 Viikko 40;Pirkanmaan SHP;62
Vuosi 2020 Viikko 41;Pirkanmaan SHP;81
Vuosi 2020 Viikko 42;Pirkanmaan SHP;79
Vuosi 2020 Viikko 43;Pirkanmaan SHP;67
Vuosi 2020 Viikko 44;Pirkanmaan SHP;79
Vuosi 2020 Viikko 45;Pirkanmaan SHP;61
Vuosi 2020 Viikko 46;Pirkanmaan SHP;78
Vuosi 2020 Viikko 47;Pirkanmaan SHP;168
Vuosi 2020 Viikko 48;Pirkanmaan SHP;227
Vuosi 2020 Viikko 49;Pirkanmaan SHP;207
